DATE,TIME,LAT,,LON,,POWER(V),TEMP(C),#FILES,MIC0 TYPE,MIC1 TYPE 
2024-Jan-17,16:41:00,-22.93806,s,50.84900,w,5.5,26.00,1,IN,IN 
2024-Jan-17,16:51:00,-22.93806,s,50.84900,w,5.5,26.25,1,IN,IN 
2024-Jan-17,17:01:00,-22.93806,s,50.84900,w,5.5,26.00,1,IN,IN 
2024-Jan-17,17:11:00,-22.93806,s,50.84900,w,5.5,26.00,1,IN,IN 
2024-Jan-17,17:21:00,-22.93806,s,50.84900,w,5.5,26.00,1,IN,IN 
2024-Jan-17,17:31:00,-22.93806,s,50.84900,w,5.5,26.25,1,IN,IN 
2024-Jan-17,17:41:00,-22.93806,s,50.84900,w,5.5,26.00,1,IN,IN 
2024-Jan-17,17:51:00,-22.93806,s,50.84900,w,5.5,26.00,1,IN,IN 
2024-Jan-17,18:01:00,-22.93806,s,50.84900,w,5.5,26.00,1,IN,IN 
2024-Jan-17,18:11:00,-22.93806,s,50.84900,w,5.5,26.25,1,IN,IN 
2024-Jan-17,18:21:00,-22.93806,s,50.84900,w,5.5,26.00,1,IN,IN 
2024-Jan-17,18:31:00,-22.93806,s,50.84900,w,5.5,26.25,1,IN,IN 
2024-Jan-17,18:41:00,-22.93806,s,50.84900,w,5.5,26.00,1,IN,IN 
2024-Jan-17,18:51:00,-22.93806,s,50.84900,w,5.5,26.00,1,IN,IN 
2024-Jan-17,19:01:00,-22.93806,s,50.84900,w,5.5,26.25,1,IN,IN 
2024-Jan-17,19:11:00,-22.93806,s,50.84900,w,5.5,26.25,1,IN,IN 
2024-Jan-17,19:21:00,-22.93806,s,50.84900,w,5.5,26.25,1,IN,IN 
2024-Jan-17,19:31:00,-22.93806,s,50.84900,w,5.5,26.25,1,IN,IN 
2024-Jan-17,19:41:00,-22.93806,s,50.84900,w,5.5,26.00,1,IN,IN 
2024-Jan-17,19:51:00,-22.93806,s,50.84900,w,5.5,26.00,1,IN,IN 
2024-Jan-17,20:01:00,-22.93806,s,50.84900,w,5.5,26.00,1,IN,IN 
2024-Jan-17,20:11:00,-22.93806,s,50.84900,w,5.5,26.00,1,IN,IN 
2024-Jan-17,20:21:00,-22.93806,s,50.84900,w,5.5,25.75,1,IN,IN 
2024-Jan-17,20:31:00,-22.93806,s,50.84900,w,5.5,25.75,1,IN,IN 
2024-Jan-17,20:41:00,-22.93806,s,50.84900,w,5.5,25.75,1,IN,IN 
2024-Jan-17,20:51:00,-22.93806,s,50.84900,w,5.5,25.75,1,IN,IN 
2024-Jan-17,21:01:00,-22.93806,s,50.84900,w,5.5,25.50,1,IN,IN 
2024-Jan-17,21:11:00,-22.93806,s,50.84900,w,5.5,25.50,1,IN,IN 
2024-Jan-17,21:21:00,-22.93806,s,50.84900,w,5.5,25.50,1,IN,IN 
2024-Jan-17,21:31:00,-22.93806,s,50.84900,w,5.5,25.50,1,IN,IN 
2024-Jan-17,21:41:00,-22.93806,s,50.84900,w,5.5,25.50,1,IN,IN 
2024-Jan-17,21:51:00,-22.93806,s,50.84900,w,5.5,25.50,1,IN,IN 
2024-Jan-17,22:01:00,-22.93806,s,50.84900,w,5.5,25.50,1,IN,IN 
2024-Jan-17,22:11:00,-22.93806,s,50.84900,w,5.5,25.50,1,IN,IN 
2024-Jan-17,22:21:00,-22.93806,s,50.84900,w,5.5,25.50,1,IN,IN 
2024-Jan-17,22:31:00,-22.93806,s,50.84900,w,5.5,25.50,1,IN,IN 
2024-Jan-17,22:41:00,-22.93806,s,50.84900,w,5.5,25.25,1,IN,IN 
2024-Jan-17,22:51:00,-22.93806,s,50.84900,w,5.5,25.25,1,IN,IN 
2024-Jan-17,23:01:00,-22.93806,s,50.84900,w,5.5,25.25,1,IN,IN 
2024-Jan-17,23:11:00,-22.93806,s,50.84900,w,5.5,25.25,1,IN,IN 
2024-Jan-17,23:21:00,-22.93806,s,50.84900,w,5.5,25.25,1,IN,IN 
2024-Jan-17,23:31:00,-22.93806,s,50.84900,w,5.5,25.00,1,IN,IN 
